Table 9: Characteristics of the 102 languages in FLEURS , with their ISO codes, language families, estimated number of speakers in
millions (#S) from [39]. Languages are grouped geographically in Western Europe (WE), Eastern Europe (EE), Central-Asia/Middle-
East/North-Africa (CMN), Sub-Saharan Africa (SSA), South Asia (SA), South-East Asia (SEA) and CJK languages. Note that we make
some minor changes compared to FLoRes, renaming “Chinese (Simp)” to “Mandarin Chinese” with code “cmn” (not “zho”) and
renaming “Chinese (Trad)” to “Cantonese Chinese” with code “yue” (not “zho”).
Idx Language ISO 639-3 ISO 639-1 Family Group #S
1Afrikaans afr af Indo-European SSA 17
2Amharic amh am Afro-Asiatic SSA 22
3Arabic ara ar Afro-Asiatic CMN 180
4Armenian hye hy Indo-European EE 6
5Assamese asm as Indo-European SA 13
6Asturian ast - Indo-European WE 0.6
7Azerbaijani azj az Turkic CMN 18
8Belarusian bel be Indo-European EE 3
9Bengali ben bn Indo-European SA 260
10 Bosnian bos bs Indo-European WE 9
11 Bulgarian bul bg Indo-European EE 7
12 Burmese mya my Sino-Tibetan SEA 33
13 Cantonese Chinese yue - Sino-Tibetan CJK 920
14 Catalan cat ca Indo-European WE 4
15 Cebuano ceb - Austronesian SEA 16
16 Croatian hrv hr Indo-European WE 4
17 Czech ces cs Indo-European EE 10
18 Danish dan da Indo-European WE 5
19 Dutch nld nl Indo-European WE 21
20 English eng en Indo-European WE 550
21 Estonian est et Uralic EE 1
22 Filipino (Tagalog) tgl tg Austronesian SEA 22
23 Finnish ﬁn ﬁ Uralic WE 5
24 French fra fr Indo-European WE 280
25 Fula ful ff Atlantic-Congo SSA 12
26 Galician glg gl Indo-European WE 2
27 Ganda lug lg Atlantic-Congo SSA 4
28 Georgian kat ka Kartvelian EE 4
29 German deu de Indo-European WE 83
30 Greek ell el Indo-European WE 13
31 Gujarati guj gu Indo-European SA 56
32 Hausa hau ha Afro-Asiatic SSA 70
33 Hebrew heb he Afro-Asiatic CMN 4
34 Hindi hin hi Indo-European SA 320
35 Hungarian hun hu Uralic WE 13
36 Icelandic isl is Indo-European WE 0.3
37 Igbo ibo ig Atlantic-Congo SSA 18
38 Indonesian ind id Austronesian SEA 200
39 Irish gle ga Indo-European WE 0.2
40 Italian ita it Indo-European WE 61
41 Japanese jpn ja Japonic CJK 130
42 Javanese jav jv Austronesian SEA 85
43 Kabuverdianu kea - Indo-European WE 0.9
44 Kamba kam - Atlantic-Congo SSA 4
45 Kannada kan kn Dravidian SA 43
46 Kazakh kaz kk Turkic CMN 11
47 Khmer khm km Austro-Asiatic SEA 16
48 Korean kor ko Koreanic CJK 52
49 Kyrgyz kir ky Turkic CMN 8
50 Lao lao lo Kra-Dai SEA 20
51 Latvian lav lv Indo-European EE 2
