48203 Multimedia Tools and Applications (2024) 83:48165–48236 
1 3
3.2.2  Param
The number of parameters is the sum of the parameters in the model and is directly related 
to the amount of disk space required by the model. For embedded devices, limited Flash 
cannot deploy models that require large disk space. Therefore, the number of parameters 
is also a valuable comparison for model compression techniques, although the number of 
parameters does not directly affect the inference performance of the model.
3.2.3  AccTop‑1
AccTop-1% represents the proportion of the class corresponding to the highest prob-
ability of the model prediction results that agrees with the true label. It is a commonly 
used evaluation metric for classification models, and it is also an indicator to measure the 
feature extraction ability of the backbone network of object detection models. It is calcu-
lated as Eqs. (2), the value of AccTop-1% ranges from 0 to 1, with higher values indicat-
ing better model performance. To some extent, is equivalent to accuracy, but AccTop-1% 
and AccTop-5% appear together to distinguish the performance of the model on different 
classes when there is a severe imbalance between the classes. AccTop-5% is the ratio of the 
top 5 classes that contain the true class in the final output probability vector.
(2) AccTop −1%= (TP+TN)∕(P+N)Table 3  The Categories of CIFAR-100
Superclass Classes
aquatic mammals beaver, dolphin, otter, seal, whale
fish aquarium fish, flatfish, ray, shark, trout
flowers orchids, poppies, roses, sunflowers, tulips
food containers bottles, bowls, cans, cups, plates
fruit and vegetables apples, mushrooms, oranges, pears, sweet peppers
household electrical devices clock, computer keyboard, lamp, telephone, television
household furniture bed, chair, couch, table, wardrobe
insects bee, beetle, butterfly, caterpillar, cockroach
large carnivores bear, leopard, lion, tiger, wolf
large man-made outdoor things bridge, castle, house, road, skyscraper
large natural outdoor scenes cloud, forest, mountain, plain, sea
large omnivores and herbivores large omnivores and herbivores
medium-sized mammals fox, porcupine, possum, raccoon, skunk
non-insect invertebrates crab, lobster, snail, spider, worm
people baby, boy, girl, man, woman
reptiles crocodile, dinosaur, lizard, snake, turtle
small mammals hamster, mouse, rabbit, shrew, squirrel
trees maple, oak, palm, pine, willow
vehicles 1 bicycle, bus, motorcycle, pickup truck, train
vehicles 2 lawn-mower, rocket, streetcar, tank, tractor
