title,snippet,link
Applications for deep learning in ecology,"… However, to our knowledge, we currently lack an insightful overview on when deep learning could be useful to ecologists. This review shows that the flexibility of deep learning can …",https://besjournals.onlinelibrary.wiley.com/doi/pdf/10.1111/2041-210X.13256
Machine learning and deep learning,"… Machine learning describes the capacity of systems to learn … Deep learning is a machine learning concept based on … , deep learning models outperform shallow machine learning …",https://link.springer.com/content/pdf/10.1007/s12525-021-00475-2.pdf
Fundamentals of deep learning,"… , computer vision, and reinforcement learning with deep dives into the latest advancements … field of deep learning. We hope that these updates inspire you to practice deep learning on …",https://coursesteach.com/pluginfile.php/7459/mod_resource/content/1/Fundamentals%20of%20Deep%20Learning%202nd%20Edition%20pdf.pdf
Deep learning for AI,"… We reviewed the basic concepts and some of the breakthrough achievements of deep learning several years ago.Here we briefly describe the origins of deep learning, describe a few …",https://dl.acm.org/doi/pdf/10.1145/3448250
The computational limits of deep learning,"… deep learning is so computationally expensive, we analyze its statistical and computational scaling in theory. We show that deep learning is … burden of deep learning models is scaling …",https://assets.pubpub.org/9c76pmmn/11686018723236.pdf
Energy and policy considerations for modern deep learning research,"… In this article, we summarize previous work characterizing the energy required to train and develop recent deep learning models for NLP, and share conclusions and recommendations …",https://ojs.aaai.org/index.php/AAAI/article/download/7123/6977
Accelerating 3d deep learning with pytorch3d,"… deep learning remains relatively underexplored. We believe that some of this disparity is due to the engineering challenges involved in 3D deep learning, … research in 3D deep learning. …",https://arxiv.org/pdf/2007.08501
What is the effect of importance weighting in deep learning?,"… from recent developments in the theory of deep learning. In particular we are motivated by … cover only shallow linear, deep linear, and deep convolutional linear neural networks, our …",http://proceedings.mlr.press/v97/byrd19a/byrd19a.pdf
A guide to deep learning in healthcare,"… Here we present deep-learning techniques for healthcare, centering our discussion on deep learning in computer vision, natural language processing, reinforcement learning, and …",https://www.researchgate.net/profile/Alexandre-Robicquet/publication/330203264_A_guide_to_deep_learning_in_healthcare/links/5db3782f92851c577ec35e39/A-guide-to-deep-learning-in-healthcare.pdf
Deep challenges associated with deep learning,… Abstract—Deep learning is a recent emerging field of research in data science. Deep learning is essentially a combination of artificial intelligence and machine learning. Inspired by …,https://www.researchgate.net/profile/Ochin-Sharma/publication/336440781_Deep_Challenges_Associated_with_Deep_Learning/links/60d05760458515dc179972e1/Deep-Challenges-Associated-with-Deep-Learning.pdf
Deep learning for audio signal processing,"… of deep learn- ing, this paper provides a review of the state-of-the-art deep learning techniques … , log-mel spectra and raw waveform) and deep learning models are reviewed, including …",https://arxiv.org/pdf/1905.00078
Measuring Calibration in Deep Learning.,The reliability of a machine learning model’s confidence in its predictions is critical for high-risk applications. Calibration—the idea that a model’s predicted probabilities of outcomes …,http://openaccess.thecvf.com/content_CVPRW_2019/papers/Uncertainty%20and%20Robustness%20in%20Deep%20Visual%20Learning/Nixon_Measuring_Calibration_in_Deep_Learning_CVPRW_2019_paper.pdf
A selective overview of deep learning,"… Along the way, we highlight new characteristics of deep learning (including depth … deep learning, many of which are only suggestive. While a complete understanding of deep learning …",https://pmc.ncbi.nlm.nih.gov/articles/PMC8300482/pdf/nihms-1639566.pdf
